Year,Real_GNE,Real_GDP,Consumption,Gov_Consumption,Investment,Gov_Investment,Exports,Imports
1960,285860,328717,165172,47775,36734,7772,29204,18302
1961,297657,336872,168821,49529,39442,8079,30662,20593
1962,293079,341242,173064,51444,38156,8157,34813,17657
1963,316584,362447,182494,53546,41334,8471,34039,20717
1964,338518,387737,195342,55210,44838,9874,39652,23045
1965,367197,410913,205095,60238,47430,10910,39548,27442
1966,378786,420698,211116,66287,50781,13614,40121,28197
1967,396882,447231,221934,69829,53226,14646,44522,28673
1968,421819,470018,232959,76222,57185,15442,46660,31507
1969,446324,503144,245372,78664,62445,15395,49703,32594
1970,472362,539243,260394,84613,65005,14645,57864,35312
1971,488116,560816,270507,89011,67737,14748,63462,36394
1972,498088,582728,280233,92826,68415,15408,68213,33492
1973,512146,597988,293377,95782,71602,15887,69588,33915
1974,544416,622544,311796,98200,75377,15658,65382,44204
1975,549628,630878,326884,106927,66104,17152,71777,45341
1976,563560,647203,329412,115726,69728,17954,74582,43117
1977,587081,670454,346855,116466,74201,17218,79909,47222
1978,586688,676458,353665,119937,77841,16876,81709,45010
1979,613228,703864,359015,123906,88115,16698,87508,48641
1980,625200,725223,365449,126703,91770,15450,93692,48691
1981,660066,749464,377380,132458,107216,14961,89144,53295
1982,689767,774409,398402,134450,115247,14552,91248,59459
1983,669128,757173,407929,137870,98901,15174,91722,54441
1984,693890,791734,412094,144294,102414,17619,98722,57701
1985,731218,833551,413798,157042,115235,19770,113963,67303
1986,762147,866641,434308,163865,121211,20837,118276,67143
1987,769412,888800,443071,169417,121894,21296,130131,63969
1988,811431,940006,457325,175790,140225,19681,141131,71150
1989,865229,976469,478561,180962,159379,19895,142593,88853
1990,895522,1011357,499251,185758,155018,21799,149252,93845
1991,869030,1007469,504166,191704,137649,22229,166052,88481
1992,874308,1011830,516133,196591,129732,22899,181753,91576
1993,907183,1052768,525962,201589,142207,24636,195222,97616
1994,934245,1094656,537322,203781,154485,24636,213746,104938
1995,993650,1137240,561037,212564,172241,25959,223180,122087
1996,1023047,1181201,580012,221544,179521,26033,245407,127808
1997,1061505,1227480,596667,226213,195683,28025,272118,140455
1998,1122510,1284888,627259,235365,222265,27548,284579,154847
1999,1185907,1349494,662149,246851,226054,29094,290028,162764
2000,1239193,1402342,689934,254806,248873,33106,318717,182374
2001,1241001,1430829,712878,259591,224238,34527,346262,180595
2002,1295098,1487344,733728,268230,245909,35756,344562,183031
2003,1369146,1533322,765143,275665,280961,37369,346299,207187
2004,1460560,1598013,805691,288058,307549,38339,350903,235155
2005,1532245,1648438,842257,296854,323412,42313,363042,264549
2006,1591858,1694115,870170,306176,349986,43542,373890,286932
2007,1673309,1758313,916338,315602,364724,47318,389432,316669
2008,1771593,1822034,960938,325343,397248,51258,405083,362543
2009,1782429,1857652,964978,338819,399225,55205,414892,349085
2010,1830941,1898708,998601,344400,385267,72862,434433,373496
2011,1910466,1944176,1038750,355148,407388,71255,438132,412487
2012,2012189,2021018,1069420,368655,468791,72730,458300,459130
2013,2045842,2074665,1091018,370762,488093,66176,482616,462477
2014,2061813,2128632,1116103,376881,482143,66681,511934,449350
2015,2083696,2174704,1145101,385188,466478,65112,547210,456676
2016,2114414,2234630,1175668,403679,441418,66802,582299,457155
2017,2164738,2285877,1204734,423470,426979,78130,614322,482541
2018,2241738,2351576,1238726,438467,449279,85366,639671,518280
2019,2274250,2403171,1259713,460491,437561,89930,664750,520922
2020,2247216,2399961,1218468,494467,425669,92263,653394,486709
2021,2326551,2448128,1227247,526939,442452,96395,597809,471744
2022,2463487,2552248,1280031,563190,475472,102021,595809,506355
2023,2576103,2643715,1364271,573110,482414,105292,635820,567876
2024,2623807,2680025,1378416,593514,496257,108173,659862,603644
2025,2675239,2715280,1394912,619669,502825,107927,664514,623684
