Date,GDP_Deflator,GDP_Deflator_Growth,CPI,CPI_Growth,GDP_Deflator_2020Q1_100,CPI_2020Q1_100
1960-Q1,5.1,1.4,5.22,0.8,6.144578313253011,6.444444444444445
1960-Q2,5.2,2.3,5.3,1.5,6.265060240963856,6.5432098765432105
1960-Q3,5.2,0.3,5.37,1.3,6.265060240963856,6.62962962962963
1960-Q4,5.3,0.8,5.41,0.7,6.385542168674699,6.679012345679013
1961-Q1,5.2,-0.5,5.45,0.7,6.265060240963856,6.728395061728396
1961-Q2,5.2,-1.1,5.49,0.7,6.265060240963856,6.777777777777779
1961-Q3,5.2,0.9,5.45,-0.7,6.265060240963856,6.728395061728396
1961-Q4,5.2,-0.3,5.45,0.0,6.265060240963856,6.728395061728396
1962-Q1,5.2,0.2,5.45,0.0,6.265060240963856,6.728395061728396
1962-Q2,5.2,0.2,5.45,0.0,6.265060240963856,6.728395061728396
1962-Q3,5.3,0.4,5.45,0.0,6.385542168674699,6.728395061728396
1962-Q4,5.3,1.0,5.45,0.0,6.385542168674699,6.728395061728396
1963-Q1,5.3,0.7,5.45,0.0,6.385542168674699,6.728395061728396
1963-Q2,5.4,0.6,5.45,0.0,6.506024096385543,6.728395061728396
1963-Q3,5.4,1.2,5.49,0.7,6.506024096385543,6.777777777777779
1963-Q4,5.4,-0.1,5.49,0.0,6.506024096385543,6.777777777777779
1964-Q1,5.5,1.4,5.53,0.7,6.626506024096386,6.8271604938271615
1964-Q2,5.6,0.9,5.57,0.7,6.746987951807229,6.876543209876544
1964-Q3,5.6,0.9,5.64,1.3,6.746987951807229,6.962962962962963
1964-Q4,5.6,0.4,5.68,0.7,6.746987951807229,7.012345679012346
1965-Q1,5.7,0.6,5.72,0.7,6.8674698795180715,7.061728395061728
1965-Q2,5.7,0.4,5.8,1.4,6.8674698795180715,7.160493827160494
1965-Q3,5.7,0.6,5.84,0.7,6.8674698795180715,7.209876543209877
1965-Q4,5.8,1.0,5.91,1.2,6.987951807228915,7.296296296296297
1966-Q1,5.8,0.9,5.95,0.7,6.987951807228915,7.34567901234568
1966-Q2,5.9,1.2,5.99,0.7,7.1084337349397595,7.395061728395063
1966-Q3,6.0,1.7,5.99,0.0,7.228915662650602,7.395061728395063
1966-Q4,6.1,1.8,6.07,1.3,7.349397590361445,7.4938271604938285
1967-Q1,6.1,-0.4,6.11,0.7,7.349397590361445,7.5432098765432105
1967-Q2,6.1,0.9,6.15,0.7,7.349397590361445,7.592592592592593
1967-Q3,6.1,-0.3,6.26,1.8,7.349397590361445,7.728395061728395
1967-Q4,6.2,1.1,6.26,0.0,7.46987951807229,7.728395061728395
1968-Q1,6.3,2.4,6.3,0.6,7.590361445783132,7.777777777777778
1968-Q2,6.3,-1.3,6.34,0.6,7.590361445783132,7.827160493827161
1968-Q3,6.4,1.6,6.38,0.6,7.710843373493977,7.8765432098765435
1968-Q4,6.5,1.5,6.42,0.6,7.83132530120482,7.925925925925926
1969-Q1,6.6,2.1,6.49,1.1,7.951807228915662,8.012345679012347
1969-Q2,6.7,1.2,6.53,0.6,8.072289156626507,8.06172839506173
1969-Q3,6.8,2.0,6.57,0.6,8.19277108433735,8.111111111111112
1969-Q4,6.8,0.1,6.61,0.6,8.19277108433735,8.160493827160495
1970-Q1,6.8,0.4,6.69,1.2,8.19277108433735,8.25925925925926
1970-Q2,7.0,1.8,6.77,1.2,8.433734939759036,8.358024691358024
1970-Q3,7.0,0.9,6.8,0.4,8.433734939759036,8.395061728395062
1970-Q4,7.1,1.2,6.92,1.8,8.55421686746988,8.54320987654321
1971-Q1,7.3,2.6,7.0,1.2,8.795180722891565,8.641975308641975
1971-Q2,7.4,1.8,7.11,1.6,8.91566265060241,8.777777777777779
1971-Q3,7.5,0.8,7.27,2.3,9.036144578313253,8.975308641975307
1971-Q4,7.5,0.5,7.42,2.1,9.036144578313253,9.160493827160494
1972-Q1,7.7,3.1,7.5,1.1,9.27710843373494,9.25925925925926
1972-Q2,7.9,1.5,7.58,1.1,9.518072289156628,9.358024691358025
1972-Q3,8.0,1.9,7.69,1.5,9.63855421686747,9.493827160493828
1972-Q4,8.2,2.3,7.77,1.0,9.879518072289157,9.592592592592592
1973-Q1,8.4,2.3,7.93,2.1,10.120481927710843,9.790123456790123
1973-Q2,8.8,4.5,8.2,3.4,10.602409638554217,10.123456790123456
1973-Q3,9.2,4.6,8.47,3.3,11.08433734939759,10.456790123456791
1973-Q4,9.5,4.0,8.78,3.7,11.44578313253012,10.839506172839505
1974-Q1,9.9,3.5,9.01,2.6,11.927710843373495,11.123456790123457
1974-Q2,10.2,3.8,9.39,4.2,12.289156626506022,11.592592592592593
1974-Q3,10.8,5.0,9.86,5.0,13.012048192771086,12.172839506172838
1974-Q4,11.3,5.2,10.21,3.5,13.614457831325302,12.60493827160494
1975-Q1,11.5,1.6,10.59,3.7,13.855421686746988,13.074074074074074
1975-Q2,11.7,1.4,10.98,3.7,14.096385542168674,13.555555555555557
1975-Q3,12.1,4.2,11.06,0.7,14.578313253012048,13.654320987654323
1975-Q4,12.9,6.4,11.68,5.6,15.542168674698795,14.419753086419753
1976-Q1,13.0,0.3,11.98,2.6,15.66265060240964,14.790123456790125
1976-Q2,13.5,4.1,12.29,2.6,16.265060240963855,15.172839506172838
1976-Q3,13.9,2.7,12.6,2.5,16.74698795180723,15.555555555555555
1976-Q4,14.2,2.3,13.34,5.9,17.10843373493976,16.469135802469136
1977-Q1,14.6,2.8,13.65,2.3,17.59036144578313,16.85185185185185
1977-Q2,14.8,1.9,13.96,2.3,17.83132530120482,17.23456790123457
1977-Q3,15.1,1.8,14.23,1.9,18.192771084337352,17.567901234567902
1977-Q4,15.3,1.4,14.57,2.4,18.433734939759034,17.987654320987655
1978-Q1,15.7,2.6,14.77,1.4,18.915662650602407,18.234567901234566
1978-Q2,16.1,2.1,15.08,2.1,19.397590361445786,18.617283950617285
1978-Q3,16.4,1.8,15.35,1.8,19.759036144578314,18.950617283950617
1978-Q4,16.6,1.8,15.7,2.3,20.0,19.382716049382715
1979-Q1,17.0,2.2,15.97,1.7,20.481927710843372,19.71604938271605
1979-Q2,17.6,3.2,16.39,2.6,21.204819277108435,20.23456790123457
1979-Q3,18.0,2.5,16.78,2.4,21.686746987951807,20.71604938271605
1979-Q4,18.4,2.0,17.28,3.0,22.16867469879518,21.333333333333336
1980-Q1,18.8,2.3,17.67,2.3,22.650602409638555,21.814814814814817
1980-Q2,19.2,2.0,18.17,2.8,23.132530120481924,22.4320987654321
1980-Q3,19.7,2.8,18.48,1.7,23.734939759036145,22.814814814814817
1980-Q4,20.2,2.8,18.87,2.1,24.337349397590362,23.296296296296298
1981-Q1,20.6,1.6,19.33,2.4,24.819277108433738,23.864197530864196
1981-Q2,21.0,2.1,19.76,2.2,25.301204819277107,24.395061728395063
1981-Q3,21.7,3.3,20.14,1.9,26.144578313253007,24.8641975308642
1981-Q4,22.4,3.3,20.99,4.2,26.987951807228917,25.913580246913575
1982-Q1,23.1,3.0,21.38,1.9,27.831325301204824,26.39506172839506
1982-Q2,23.7,2.9,21.88,2.3,28.55421686746988,27.012345679012345
1982-Q3,24.2,1.9,22.65,3.5,29.156626506024097,27.962962962962962
1982-Q4,25.0,3.2,23.31,2.9,30.120481927710845,28.777777777777775
1983-Q1,25.4,1.9,23.81,2.1,30.602409638554217,29.39506172839506
1983-Q2,25.8,1.3,24.32,2.1,31.08433734939759,30.02469135802469
1983-Q3,26.5,2.9,24.74,1.7,31.92771084337349,30.54320987654321
1983-Q4,26.8,1.1,25.32,2.3,32.28915662650603,31.25925925925926
1984-Q1,27.2,1.6,25.21,-0.4,32.7710843373494,31.12345679012346
1984-Q2,27.5,1.1,25.28,0.3,33.13253012048193,31.20987654320988
1984-Q3,27.6,0.3,25.59,1.2,33.25301204819277,31.592592592592595
1984-Q4,27.9,1.0,25.98,1.5,33.6144578313253,32.074074074074076
1985-Q1,28.6,2.3,26.33,1.3,34.45783132530121,32.50617283950617
1985-Q2,29.0,1.6,26.95,2.4,34.93975903614458,33.2716049382716
1985-Q3,29.3,1.0,27.56,2.3,35.30120481927711,34.02469135802469
1985-Q4,30.0,2.2,28.11,2.0,36.144578313253014,34.7037037037037
1986-Q1,30.3,1.2,28.76,2.3,36.506024096385545,35.50617283950617
1986-Q2,30.9,2.0,29.23,1.6,37.2289156626506,36.08641975308642
1986-Q3,31.4,1.6,30.0,2.6,37.831325301204814,37.03703703703704
1986-Q4,31.9,1.7,30.85,2.8,38.433734939759034,38.08641975308642
1987-Q1,32.4,1.5,31.47,2.0,39.036144578313255,38.85185185185185
1987-Q2,33.1,2.1,31.93,1.5,39.87951807228916,39.41975308641975
1987-Q3,33.6,1.4,32.47,1.7,40.48192771084337,40.08641975308642
1987-Q4,33.9,1.0,33.05,1.8,40.8433734939759,40.80246913580247
1988-Q1,35.0,3.2,33.63,1.8,42.168674698795186,41.51851851851852
1988-Q2,35.8,2.4,34.21,1.7,43.132530120481924,42.23456790123457
1988-Q3,36.8,2.7,34.87,1.9,44.33734939759036,43.04938271604938
1988-Q4,37.4,1.6,35.57,2.0,45.06024096385542,43.91358024691358
1989-Q1,38.1,2.0,35.91,1.0,45.903614457831324,44.33333333333333
1989-Q2,38.8,1.7,36.8,2.5,46.74698795180722,45.432098765432094
1989-Q3,39.2,1.1,37.65,2.3,47.22891566265061,46.48148148148148
1989-Q4,40.0,2.0,38.35,1.9,48.19277108433735,47.345679012345684
1990-Q1,40.4,1.1,39.01,1.7,48.674698795180724,48.16049382716049
1990-Q2,41.1,1.8,39.63,1.6,49.51807228915663,48.92592592592593
1990-Q3,41.1,-0.1,39.94,0.8,49.51807228915663,49.30864197530864
1990-Q4,41.3,0.6,40.98,2.6,49.75903614457831,50.59259259259259
1991-Q1,41.3,-0.1,40.9,-0.2,49.75903614457831,50.49382716049382
1991-Q2,41.4,0.3,40.98,0.2,49.87951807228915,50.59259259259259
1991-Q3,41.5,0.3,41.21,0.6,50.0,50.876543209876544
1991-Q4,41.9,0.9,41.6,0.9,50.48192771084338,51.358024691358025
1992-Q1,42.2,0.6,41.6,0.0,50.84337349397591,51.358024691358025
1992-Q2,42.0,-0.3,41.48,-0.3,50.602409638554214,51.20987654320987
1992-Q3,42.0,0.0,41.52,0.1,50.602409638554214,51.25925925925926
1992-Q4,42.0,-0.1,41.71,0.5,50.602409638554214,51.49382716049383
1993-Q1,42.4,1.0,42.1,0.9,51.08433734939759,51.97530864197532
1993-Q2,42.6,0.5,42.25,0.4,51.325301204819276,52.160493827160494
